WindSpeed,MinTemp,MaxTemp,Humidity,Result
3,6,17,75,8
2,4,18,82,8
4,5,19,71,8
2,5,19,71,8
7,8,15,81,8
4,6,17,75,8
4,4,17,72,8
4,6,19,65,8
5,6,21,63,8
2,6,22,55,8
2,9,19,67,8
4,8,17,72,8
7,7,19,65,8
8,5,19,61,8
2,5,21,53,8
3,6,17,68,8
3,2,19,67,8
2,5,20,66,8
2,6,21,65,8
5,10,21,65,8
8,9,15,89,8
8,9,14,88,8
3,5,16,77,8
3,5,16,77,8
2,5,17,67,8
3,4,17,66,8
5,5,18,57,8
3,4,17,63,8
2,3,19,60,8
5,7,16,68,8
7,9,13,82,8
6,9,14,77,5
4,5,20,69,5
3,6,22,67,5
2,7,22,65,5
3,11,22,62,5
7,11,21,75,5
7,8,15,84,5
8,8,16,72,5
4,5,18,66,5
2,7,20,61,5
2,9,21,60,5
1,10,20,67,5
2,10,23,71,5
6,11,15,90,5
4,8,17,85,5
4,9,21,71,5
4,9,20,70,5
6,10,20,78,5
5,9,20,74,5
8,12,19,82,5
7,12,20,84,5
7,8,20,66,5
5,9,21,62,5
2,9,23,59,5
7,9,22,60,5
6,11,20,70,5
5,8,20,68,5
2,7,20,60,5
5,9,20,66,4
7,12,16,82,4
6,10,18,81,4
5,9,21,71,4
3,10,24,69,4
4,11,26,56,4
4,11,25,62,4
4,12,20,60,4
4,10,24,61,4
4,12,27,58,4
7,13,20,74,4
4,11,24,63,4
4,12,23,60,4
5,12,20,68,4
2,11,24,66,4
3,12,26,54,4
1,14,29,49,4
1,15,29,48,4
5,15,27,55,4
12,14,26,63,4
5,14,27,56,4
6,14,28,54,4
7,17,25,49,4
6,14,24,64,4
5,14,29,62,4
5,13,29,52,4
2,15,31,60,4
2,18,32,52,4
3,19,33,55,4
7,19,32,59,4
7,17,29,52,4
8,17,34,44,0
4,18,34,34,0
4,20,34,36,0
2,20,35,51,0
3,21,36,50,0
4,22,35,46,0
5,21,35,39,0
7,22,32,41,0
4,21,34,50,0
7,20,35,48,0
5,20,35,43,0
7,23,34,44,0
7,21,30,55,0
5,21,32,58,0
10,22,36,52,0
9,18,28,72,0
8,17,22,83,0
4,16,28,61,0
3,18,31,61,0
2,20,34,54,0
3,21,37,43,0
4,23,37,40,0
5,23,41,40,0
11,23,38,52,0
7,22,39,44,0
5,22,39,43,0
