WindSpeed,MinTemp,MaxTemp,Humidity,Result
3,6,17,75,0
2,4,18,82,0
4,5,19,71,0
2,5,19,71,0
7,8,15,81,0
4,6,17,75,0
4,4,17,72,0
4,6,19,65,0
5,6,21,63,0
2,6,22,55,0
2,9,19,67,0
4,8,17,72,0
7,7,19,65,0
8,5,19,61,0
2,5,21,53,0
3,6,17,68,0
3,2,19,67,0
2,5,20,66,0
2,6,21,65,0
5,10,21,65,0
8,9,15,89,0
8,9,14,88,0
3,5,16,77,0
3,5,16,77,0
2,5,17,67,0
3,4,17,66,0
5,5,18,57,0
3,4,17,63,0
2,3,19,60,0
5,7,16,68,0
7,9,13,82,0
6,9,14,77,0
4,5,20,69,0
3,6,22,67,0
2,7,22,65,0
3,11,22,62,0
7,11,21,75,0
7,8,15,84,0
8,8,16,72,0
4,5,18,66,0
2,7,20,61,0
2,9,21,60,0
1,10,20,67,0
2,10,23,71,0
6,11,15,90,0
4,8,17,85,0
4,9,21,71,0
4,9,20,70,0
6,10,20,78,0
5,9,20,74,0
8,12,19,82,0
7,12,20,84,0
7,8,20,66,0
5,9,21,62,0
2,9,23,59,0
7,9,22,60,0
6,11,20,70,0
5,8,20,68,0
2,7,20,60,0
5,9,20,66,0
7,12,16,82,0
6,10,18,81,0
5,9,21,71,0
3,10,24,69,0
4,11,26,56,0
4,11,25,62,0
4,12,20,60,0
4,10,24,61,0
4,12,27,58,0
7,13,20,74,0
4,11,24,63,0
4,12,23,60,0
5,12,20,68,0
2,11,24,66,0
3,12,26,54,0
1,14,29,49,0
1,15,29,48,0
5,15,27,55,0
12,14,26,63,0
5,14,27,56,0
6,14,28,54,0
7,17,25,49,0
6,14,24,64,0
5,14,29,62,0
5,13,29,52,0
2,15,31,60,0
2,18,32,52,0
3,19,33,55,0
7,19,32,59,0
7,17,29,52,0
8,17,34,44,0
4,18,34,34,0
4,20,34,36,0
2,20,35,51,0
3,21,36,50,0
4,22,35,46,0
5,21,35,39,0
7,22,32,41,0
4,21,34,50,0
7,20,35,48,0
5,20,35,43,0
7,23,34,44,0
7,21,30,55,0
5,21,32,58,1
10,22,36,52,0
9,18,28,72,0
8,17,22,83,0
4,16,28,61,0
3,18,31,61,2
2,20,34,54,0
3,21,37,43,0
4,23,37,40,0
5,23,41,40,0
11,23,38,52,0
7,22,39,44,0
5,22,39,43,0
8,23,39,39,0
6,23,40,31,0
5,23,39,30,0
15,26,37,34,0
6,23,40,36,0
9,25,39,30,0
7,21,37,31,0
7,22,36,35,0
3,24,39,33,0
4,25,40,31,0
3,24,41,26,0
3,26,41,19,0
5,26,42,23,0
9,27,40,28,0
8,24,33,44,0
6,22,39,39,0
8,24,39,46,0
5,21,35,48,0
8,25,33,43,0
7,22,32,60,1
10,21,28,66,0
8,20,35,47,0
10,23,38,44,0
10,23,38,48,0
6,25,41,35,0
5,27,40,34,0
12,23,36,43,0
13,20,31,61,2
12,20,32,53,0
9,23,38,41,0
8,26,40,29,0
8,25,42,29,0
5,26,42,34,0
5,30,44,24,0
4,30,46,29,0
4,31,46,24,0
6,30,46,28,0
10,29,43,33,0
10,27,41,40,0
8,28,44,34,0
10,28,42,26,0
6,26,43,28,0
6,28,43,30,0
4,29,44,28,0
5,30,46,26,0
11,31,44,26,0
15,24,38,43,0
5,26,41,40,0
6,28,43,28,0
11,28,43,35,0
8,28,39,40,0
10,22,41,51,0
8,23,31,61,2
5,25,38,54,0
11,22,37,61,2
6,25,37,50,0
6,28,41,42,0
9,29,40,46,0
6,23,29,71,0
1,24,36,65,2
7,28,41,52,0
7,26,41,37,0
6,29,41,36,0
8,30,42,31,0
7,29,44,32,0
9,30,43,39,0
7,28,40,42,0
6,30,41,42,0
10,24,40,55,0
8,24,37,64,2
14,25,32,66,2
9,28,35,65,2
9,28,38,58,1
14,28,36,71,2
11,28,36,64,2
11,24,34,71,2
10,28,34,62,2
11,23,34,62,2
13,22,30,79,3
12,23,30,77,3
13,23,27,90,0
12,23,31,76,3
11,25,34,66,2
13,27,33,72,2
6,26,35,68,2
8,26,36,67,2
7,29,37,66,2
5,29,37,63,2
7,29,39,68,2
11,23,30,84,4
9,26,31,77,3
12,26,31,75,2
11,25,29,80,0
12,26,35,69,2
6,26,35,68,2
13,26,32,77,3
9,24,32,82,4
8,24,31,76,3
8,26,33,73,2
