WindSpeed,MinTemp,MaxTemp,Humidity,Result
3,6,17,75,0
2,4,18,82,0
4,5,19,71,0
2,5,19,71,0
7,8,15,81,0
4,6,17,75,0
4,4,17,72,0
4,6,19,65,0
5,6,21,63,0
2,6,22,55,0
2,9,19,67,0
4,8,17,72,0
7,7,19,65,0
8,5,19,61,0
2,5,21,53,0
3,6,17,68,0
3,2,19,67,0
2,5,20,66,0
2,6,21,65,0
5,10,21,65,0
8,9,15,89,0
8,9,14,88,0
3,5,16,77,0
3,5,16,77,0
2,5,17,67,0
3,4,17,66,0
5,5,18,57,0
3,4,17,63,0
2,3,19,60,0
5,7,16,68,0
7,9,13,82,0
6,9,14,77,0
4,5,20,69,0
3,6,22,67,0
2,7,22,65,0
3,11,22,62,0
7,11,21,75,0
7,8,15,84,0
8,8,16,72,0
4,5,18,66,0
2,7,20,61,0
2,9,21,60,0
1,10,20,67,0
2,10,23,71,0
6,11,15,90,0
4,8,17,85,0
4,9,21,71,0
4,9,20,70,0
6,10,20,78,0
5,9,20,74,0
8,12,19,82,0
7,12,20,84,0
7,8,20,66,0
5,9,21,62,0
2,9,23,59,0
7,9,22,60,0
6,11,20,70,0
5,8,20,68,0
2,7,20,60,0
5,9,20,66,0
7,12,16,82,0
6,10,18,81,0
5,9,21,71,0
3,10,24,69,0
4,11,26,56,0
4,11,25,62,0
4,12,20,60,0
4,10,24,61,0
4,12,27,58,0
7,13,20,74,0
4,11,24,63,0
4,12,23,60,0
5,12,20,68,0
2,11,24,66,0
3,12,26,54,0
1,14,29,49,0
1,15,29,48,0
5,15,27,55,0
12,14,26,63,0
5,14,27,56,0
6,14,28,54,0
7,17,25,49,0
6,14,24,64,0
5,14,29,62,0
5,13,29,52,0
2,15,31,60,2
2,18,32,52,1
3,19,33,55,1
7,19,32,59,2
7,17,29,52,0
8,17,34,44,3
4,18,34,34,3
4,20,34,36,3
2,20,35,51,3
3,21,36,50,3
4,22,35,46,3
5,21,35,39,3
7,22,32,41,1
4,21,34,50,3
7,20,35,48,3
5,20,35,43,3
7,23,34,44,3
7,21,30,55,1
5,21,32,58,2
10,22,36,52,3
9,18,28,72,0
8,17,22,83,0
4,16,28,61,0
3,18,31,61,3
2,20,34,54,3
3,21,37,43,3
4,23,37,40,3
5,23,41,40,4
11,23,38,52,4
7,22,39,44,4
5,22,39,43,4
8,23,39,39,4
6,23,40,31,4
5,23,39,30,4
15,26,37,34,3
6,23,40,36,4
9,25,39,30,4
7,21,37,31,3
7,22,36,35,3
3,24,39,33,4
4,25,40,31,4
3,24,41,26,4
3,26,41,19,4
5,26,42,23,4
9,27,40,28,4
8,24,33,44,1
6,22,39,39,4
8,24,39,46,4
5,21,35,48,3
8,25,33,43,1
7,22,32,60,2
10,21,28,66,0
8,20,35,47,3
10,23,38,44,4
10,23,38,48,4
6,25,41,35,4
5,27,40,34,4
12,23,36,43,3
13,20,31,61,3
12,20,32,53,1
9,23,38,41,4
8,26,40,29,4
8,25,42,29,4
5,26,42,34,4
5,30,44,24,4
4,30,46,29,4
4,31,46,24,4
6,30,46,28,4
10,29,43,33,4
10,27,41,40,4
8,28,44,34,4
10,28,42,26,4
6,26,43,28,4
6,28,43,30,4
4,29,44,28,4
5,30,46,26,4
11,31,44,26,4
15,24,38,43,4
5,26,41,40,4
6,28,43,28,4
11,28,43,35,4
8,28,39,40,4
10,22,41,51,4
8,23,31,61,3
5,25,38,54,4
11,22,37,61,4
6,25,37,50,3
6,28,41,42,4
9,29,40,46,4
6,23,29,71,0
1,24,36,65,4
7,28,41,52,4
7,26,41,37,4
6,29,41,36,4
8,30,42,31,4
7,29,44,32,4
9,30,43,39,4
7,28,40,42,4
6,30,41,42,4
10,24,40,55,4
8,24,37,64,4
14,25,32,66,3
9,28,35,65,4
9,28,38,58,4
14,28,36,71,5
11,28,36,64,4
11,24,34,71,5
10,28,34,62,4
11,23,34,62,4
13,22,30,79,4
12,23,30,77,4
13,23,27,90,0
12,23,31,76,4
11,25,34,66,5
13,27,33,72,3
6,26,35,68,5
6,30,44,89,6
10,29,41,90,6
11,25,40,90,6
5,31,45,88,6
8,30,40,88,6
12,35,41,85,6
8,26,36,67,5
7,29,37,66,5
5,29,37,63,4
7,29,39,68,5
11,23,30,84,5
9,26,31,77,4
12,26,31,75,3
11,25,29,80,0
